d1,points,dice_remaining,probability
1.0,100.0,6.0,0.16666666666666666
2.0,0.0,0.0,0.16666666666666666
3.0,0.0,0.0,0.16666666666666666
4.0,0.0,0.0,0.16666666666666666
5.0,50.0,6.0,0.16666666666666666
6.0,0.0,0.0,0.16666666666666666
